"Southfield-Lathrup High School","US","MI","Southfield","http://www.southfield.k12.mi.us/itc/slathrup.htm"
"Rio Americano High School","US","CA","Sacramento",""
"Waterford Mott High School","US","MI","Waterford",""
"Richmond, the American International University In","UK","","London","http://www.richmond.ac.uk"
"Cloquet High School","US","MN","Cloquet",""
"Ardmore High School","US","OK","Ardmore",""
"Otterbein College","US","OH","Westerville","http://www.otterbein.edu"
"Oviedo High School","US","FL","Oviedo",""
"Charter School of Wilmington","US","DE","Wilmington","http://www.charterschool.org"
"Penn State Erie, the Behrend College","US","PA","Erie","http://www.pserie.psu.edu"
"New England Institute of Technology","US","RI","Warwick",""
"Santa Susana High School","US","CA","Simi Valley",""
"Bishop Druitt College","AU","Nsw","Coffs Harbour",""
"Art Institute of California, Orange County","US","CA","Santa Ana","http://www.aicaoc.artinstitutes.edu/"
"Oberlin College","US","OH","Oberlin","http://www.oberlin.edu"
"Omaha North High School","US","NE","Omaha","http://www.ops.org/north/"
